angulo_alinhamento_corpo,angulo_cotovelo_dir,angulo_joelho_dir,angulo_quadril_dir,exercicio,feedback,simetria_ombros,simetria_quadris,timestamp
173.48,,170.14,168.22,pushup,PUSHUP: FORMA CORRETA,8.00,12.00,2025-06-23 19:53:10.938135
175.41,,175.19,172.85,pushup,PUSHUP: FORMA CORRETA,5.00,13.00,2025-06-23 19:53:11.055962
174.92,167.72,171.68,170.41,pushup,PUSHUP: FORMA CORRETA,3.00,11.00,2025-06-23 19:53:11.159114
179.39,167.44,175.93,177.32,pushup,PUSHUP: FORMA CORRETA,1.00,8.00,2025-06-23 19:53:11.268139
178.80,159.20,173.51,177.90,pushup,PUSHUP: FORMA CORRETA,1.00,10.00,2025-06-23 19:53:11.373410
178.34,159.21,179.02,178.83,pushup,PUSHUP: FORMA CORRETA,1.00,8.00,2025-06-23 19:53:11.468929
179.64,159.62,176.41,177.88,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,0.00,8.00,2025-06-23 19:53:11.560155
179.63,155.81,174.77,177.83,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,0.00,8.00,2025-06-23 19:53:11.655985
177.66,152.23,174.46,179.59,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,1.00,9.00,2025-06-23 19:53:11.751237
179.29,158.48,176.19,177.39,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,2.00,9.00,2025-06-23 19:53:11.845848
179.62,147.62,172.22,176.60,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,1.00,8.00,2025-06-23 19:53:11.937033
174.02,151.77,169.76,179.04,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,1.00,8.00,2025-06-23 19:53:12.033024
177.40,154.28,175.55,175.29,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,1.00,10.00,2025-06-23 19:53:12.123913
177.09,,173.61,173.98,pushup,PUSHUP: FORMA CORRETA,3.00,11.00,2025-06-23 19:53:12.221708
178.02,,172.44,174.31,pushup,PUSHUP: FORMA CORRETA,5.00,12.00,2025-06-23 19:53:12.313933
174.76,151.99,175.91,172.72,pushup,PUSHUP: FORMA CORRETA,7.00,14.00,2025-06-23 19:53:12.406758
176.42,142.27,174.86,173.89,pushup,PUSHUP: FORMA CORRETA,6.00,12.00,2025-06-23 19:53:12.502847
176.88,,177.38,175.63,pushup,PUSHUP: FORMA CORRETA,4.00,11.00,2025-06-23 19:53:12.599053
176.08,,179.77,176.19,pushup,PUSHUP: FORMA CORRETA,6.00,12.00,2025-06-23 19:53:12.693168
171.97,,178.89,171.44,pushup,PUSHUP: FORMA CORRETA,2.00,11.00,2025-06-23 19:53:12.799772
169.84,,177.82,170.90,pushup,PUSHUP: FORMA CORRETA,3.00,11.00,2025-06-23 19:53:12.899974
172.33,,174.59,174.93,pushup,PUSHUP: FORMA CORRETA,3.00,11.00,2025-06-23 19:53:12.995138
175.21,107.50,176.75,176.77,pushup,PUSHUP: FORMA CORRETA,1.00,8.00,2025-06-23 19:53:13.105796
177.75,100.05,178.84,177.20,pushup,PUSHUP: FORMA CORRETA,2.00,10.00,2025-06-23 19:53:13.214560
178.19,98.85,174.62,175.64,pushup,PUSHUP: FORMA CORRETA,3.00,11.00,2025-06-23 19:53:13.323756
178.65,97.93,176.65,177.10,pushup,PUSHUP: FORMA CORRETA,2.00,11.00,2025-06-23 19:53:13.418241
177.29,99.13,177.42,176.05,pushup,PUSHUP: FORMA CORRETA,6.00,12.00,2025-06-23 19:53:13.512631
176.20,,179.50,175.95,pushup,PUSHUP: FORMA CORRETA,7.00,12.00,2025-06-23 19:53:13.604545
177.21,,179.54,176.98,pushup,PUSHUP: FORMA CORRETA,7.00,12.00,2025-06-23 19:53:13.700921
177.27,100.56,178.54,176.56,pushup,PUSHUP: FORMA CORRETA,5.00,11.00,2025-06-23 19:53:13.794611
175.74,,175.28,178.06,pushup,PUSHUP: FORMA CORRETA,6.00,12.00,2025-06-23 19:53:13.888179
176.23,,176.24,178.07,pushup,PUSHUP: FORMA CORRETA,7.00,12.00,2025-06-23 19:53:13.984229
176.01,,177.80,177.08,pushup,PUSHUP: FORMA CORRETA,6.00,12.00,2025-06-23 19:53:14.075712
173.48,,175.73,175.59,pushup,PUSHUP: FORMA CORRETA,11.00,14.00,2025-06-23 19:53:14.170069
171.89,,176.42,173.68,pushup,PUSHUP: FORMA CORRETA,10.00,14.00,2025-06-23 19:53:14.264144
173.03,,175.80,175.07,pushup,PUSHUP: FORMA CORRETA,8.00,13.00,2025-06-23 19:53:14.360633
172.55,104.58,175.82,174.60,pushup,PUSHUP: FORMA CORRETA,6.00,12.00,2025-06-23 19:53:14.453054
170.98,106.53,175.18,173.32,pushup,PUSHUP: FORMA CORRETA,6.00,13.00,2025-06-23 19:53:14.545753
171.21,,177.36,172.47,pushup,PUSHUP: FORMA CORRETA,0.00,10.00,2025-06-23 19:53:14.638105
173.72,,178.57,174.40,pushup,PUSHUP: FORMA CORRETA,2.00,11.00,2025-06-23 19:53:14.733099
171.34,,174.31,174.21,pushup,PUSHUP: FORMA CORRETA,1.00,10.00,2025-06-23 19:53:14.824342
170.06,,174.86,172.59,pushup,PUSHUP: FORMA CORRETA,1.00,12.00,2025-06-23 19:53:14.916410
171.05,,174.85,173.57,pushup,PUSHUP: FORMA CORRETA,2.00,12.00,2025-06-23 19:53:15.011017
171.26,,172.61,174.91,pushup,PUSHUP: FORMA CORRETA,0.00,11.00,2025-06-23 19:53:15.106771
172.03,,175.76,174.13,pushup,PUSHUP: FORMA CORRETA,2.00,11.00,2025-06-23 19:53:15.200131
174.17,148.01,173.99,177.10,pushup,PUSHUP: FORMA CORRETA,5.00,8.00,2025-06-23 19:53:15.292195
170.89,152.42,174.11,173.75,pushup,PUSHUP: FORMA CORRETA,6.00,8.00,2025-06-23 19:53:15.390646
167.81,154.95,172.68,171.28,pushup,PUSHUP: FORMA CORRETA,5.00,7.00,2025-06-23 19:53:15.483803
167.08,159.02,173.65,170.10,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,6.00,7.00,2025-06-23 19:53:15.575796
163.65,,170.72,168.26,pushup,PUSHUP: FORMA CORRETA,5.00,8.00,2025-06-23 19:53:15.671719
163.08,162.39,172.51,166.87,pushup,PUSHUP: FORMA CORRETA,9.00,6.00,2025-06-23 19:53:15.763318
167.59,155.15,179.22,168.00,pushup,PUSHUP: FORMA CORRETA,6.00,7.00,2025-06-23 19:53:15.856720
166.87,155.95,172.00,170.97,pushup,PUSHUP: FORMA CORRETA,10.00,5.00,2025-06-23 19:53:15.950301
166.85,157.14,172.63,170.58,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,10.00,5.00,2025-06-23 19:53:16.041918
167.42,160.08,173.60,170.59,pushup,PUSHUP: FORMA CORRETA,10.00,5.00,2025-06-23 19:53:16.136611
166.55,162.16,172.19,170.36,pushup,PUSHUP: FORMA CORRETA,11.00,5.00,2025-06-23 19:53:16.229831
167.20,164.30,173.65,170.38,pushup,PUSHUP: FORMA CORRETA,11.00,5.00,2025-06-23 19:53:16.322976
166.50,165.06,174.01,169.45,pushup,PUSHUP: FORMA CORRETA,11.00,5.00,2025-06-23 19:53:16.415607
170.09,163.34,173.24,173.43,pushup,PUSHUP: FORMA CORRETA,8.00,6.00,2025-06-23 19:53:16.507855
166.91,162.70,174.08,169.80,pushup,PUSHUP: FORMA CORRETA,11.00,5.00,2025-06-23 19:53:16.602814
165.74,160.94,174.92,168.18,pushup,PUSHUP: FORMA CORRETA,12.00,4.00,2025-06-23 19:53:16.695990
165.98,161.57,174.79,168.49,pushup,PUSHUP: FORMA CORRETA,13.00,4.00,2025-06-23 19:53:16.790618
166.67,158.92,174.60,169.22,pushup,PUSHUP: FORMA CORRETA,11.00,4.00,2025-06-23 19:53:16.882852
167.19,161.81,173.37,170.35,pushup,PUSHUP: FORMA CORRETA,11.00,5.00,2025-06-23 19:53:16.975806
168.17,156.61,175.07,170.53,pushup,PUSHUP: FORMA CORRETA,12.00,3.00,2025-06-23 19:53:17.070107
170.07,158.04,175.29,172.31,pushup,PUSHUP: FORMA CORRETA,11.00,4.00,2025-06-23 19:53:17.163491
169.77,155.99,174.60,172.43,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,12.00,4.00,2025-06-23 19:53:17.258775
170.55,148.16,180.00,170.55,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,8.00,5.00,2025-06-23 19:53:17.351815
168.90,151.46,174.40,171.72,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,10.00,3.00,2025-06-23 19:53:17.447257
167.29,151.80,174.18,170.17,pushup,PUSHUP: ESTENDA MAIS OS BRACOS,9.00,5.00,2025-06-23 19:53:17.541853
165.67,,174.25,168.52,pushup,PUSHUP: FORMA CORRETA,8.00,6.00,2025-06-23 19:53:17.638140
164.16,,171.72,168.37,pushup,PUSHUP: FORMA CORRETA,7.00,8.00,2025-06-23 19:53:17.729822
